2024-06-27 15:06:52 | WARN | "email" is required
2024-06-27 15:07:11 | WARN | "password" is required
2024-06-27 23:57:42 | INFO | {}
2024-06-28 03:34:50 | ERROR | Cannot access 'token' before initialization
2024-06-28 03:35:03 | ERROR | Cannot access 'token' before initialization
2024-06-28 03:36:57 | ERROR | req.cookies.access_token is not a function
2024-06-28 03:38:49 | ERROR | Cannot read properties of undefined (reading 'split')
2024-06-28 03:38:52 | ERROR | Cannot read properties of undefined (reading 'split')
2024-06-28 03:43:48 | ERROR | jwt must be provided
2024-06-28 23:58:12 | ERROR | jwt must be provided
2024-06-29 00:08:43 | ERROR | jwt must be provided
2024-06-29 00:31:54 | ERROR | jwt must be provided
2024-06-29 00:35:42 | ERROR | jwt must be provided
2024-06-29 00:39:26 | ERROR | jwt must be provided
2024-06-29 00:44:53 | ERROR | jwt must be provided
2024-06-29 01:00:20 | ERROR | jwt must be provided
2024-06-29 03:36:00 | INFO | {}
2024-06-29 03:36:08 | INFO | {}
2024-07-04 08:25:19 | WARN | "confirmPass" is not allowed
2024-07-04 08:26:56 | WARN | "confirmPass" is not allowed
2024-07-04 08:27:10 | WARN | "confirmPass" is not allowed
2024-07-04 08:30:22 | WARN | "confirmPass" is not allowed
2024-07-04 12:13:00 | ERROR | jwt must be provided
2024-07-04 12:13:00 | ERROR | jwt must be provided
2024-07-04 12:13:20 | ERROR | jwt must be provided
2024-07-04 12:13:20 | ERROR | jwt must be provided
2024-07-04 12:13:44 | ERROR | jwt must be provided
2024-07-04 12:13:44 | ERROR | jwt must be provided
2024-07-04 12:13:54 | ERROR | jwt must be provided
2024-07-04 12:13:54 | ERROR | jwt must be provided
2024-07-04 12:13:55 | ERROR | jwt must be provided
2024-07-04 12:13:55 | ERROR | jwt must be provided
2024-07-04 12:13:55 | ERROR | jwt must be provided
2024-07-04 12:13:55 | ERROR | jwt must be provided
2024-07-04 12:14:24 | ERROR | jwt must be provided
2024-07-04 12:14:24 | ERROR | jwt must be provided
